author,content,id,imdb_id,title,tmdb_id,url
John Chard,"Do me a favour. Put your lip over your head... and swallow.

Grumpy Old Men is directed by Donald Petrie and written by Mark Steven Johnson. It stars Walter Matthau, Jack Lemmon, Ann-Margret, Kevin Pollack, Burgess Meredith, Ossie Davis, Daryl Hannah and Buck Henry. Music is by Alan Silvestri and cinematography by Johnny E. Jensen.

A lifelong feud between two neighbours has been continuing since for ever. Now in the twilight of their lives, things get worse when a new female neighbour moves across the street.

A perennially fun viewing experience, one that boasts a wonderfully mature cast having a good time in the process. It would be easy to decry the formula, the trajectory of where it will go, and maybe stand tall and proclaim the writing isn't up to the standard of a Wilder or Simon movie, but that's kind of missing the point. It's a new era of film and the makers of Grumpy Old Men have tailored it to suit impressively the twin talents of Matthau and Lemmon. Both of whom are wonderful, their chemistry set in cement, their timing and reactions to scripting an utter joy. It's not without problems, anyone can see that, especially when the film veers onto the drama path, but the comedy over rides it all to leave a adult friendly holiday movie full of warmth and chuckles. 7/10",5424aec90e0a263b74004629,107050,Grumpy Old Men,11520,https://www.themoviedb.org/review/5424aec90e0a263b74004629
John Chard,"You don't live with me, you live among the remains of dead people.

Heat is written and directed by Michael Mann. It stars Robert DeNiro, Al Pacino, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Ashley Judd, Amy Brennerman and Danny Trejo. Music is scored by Elliot Goldenthal and cinematography by Dante Spinoti.

Big time thief Neil McCauley (DeNiro) is after one last major score before he retires, but hot on his tail is Vincent Hannah (Pacino), a cop equally and methodically as driven as he is himself.

In the build up to Heat's release, much was made of it being the first on screen pairing of DeNiro and Pacino. A mouthwatering prospect for sure, it proved to be worth the wait and unfolds as a lesson in restrained acting with two modern greats affording each other the respect that was due. What we didn't realise in the build up to the film's release, was that it would prove to be one of the greatest cops and robbers movies of all time, brought to us by an auteur director whose kink for realism and commitment to research stands him out from much of the modern directing pack.

Rarely does a film come together as one, where all the cogs of the engine are in tune, but Heat is one such picture. From cast performances to visual aesthetics, to screenplay and actual substance of story, Heat is as meticulous as it is thrilling. There are a myriad of characters brilliantly stitched together in one de-glamorised City of Angels, as plot develops, and each character and their crumbling relationships come under inspection, we are witnessing a coarse viewpoint of human nature, where people's lives are ended or defined by their choices. Everywhere you look, here, there are folk cracking under the strain of being exposed to high end crime, dreams, hopes and happiness are unlikely to be achieved, and this is on both sides of the law.

For Heat, Mann fuses the tonal and visual ticks of Manhunter with that of the adrenalin rushes from Last of the Mohicans, with the former gorgeously born out by Spinoti's pin sharp photography, the latter thrillingly realised by Mann's skill at action set pieces. Once again word of mouth about the key heist and shoot out in the film led to high expectation, and again there is no disappointment. L.A. becomes a battle ground, rapid gunfire punctures the air, cars swerve and crash, bodies fall, visually and aurally it drags you to the edge of your seat, an extended action sequence fit to sit with the best of them. The kicker as well is that because Mann has been so detailed in his characterisations, we care about what happens to all parties, we understand motives and means. Which in a film with such a huge support cast is quite an achievement.

There is enough in Heat to fill out a dozen other cops and robbers films, fans of neo-noir and crime films in general are spoilt supreme here. It's not rocket science really, put a group of great actors together, give them an intelligent script to work from and let them be guided by a director who will not sit still, and you get a great film. Heat, the ultimate predator and prey movie, where from beginning to end it refuses to be lazy or cop out, and energy and thought seeps from every frame. 10/10",5510d7769251415c960007f3,113277,Heat,949,https://www.themoviedb.org/review/5510d7769251415c960007f3
Gimly,"Partly I'm disappointed in myself for taking so long to watch _Heat_ because it's such a massive influence on one of the best movies ever (_The Dark Knight_), and one my favourite video games ever (_Payday: The Heist_).

Mostly though, I'm disappointed in myself for taking so long to watch _Heat_ because I've denied myself for so long the privilege of having seen such a great fucking crime movie.

_Final rating:★★★★ - An all round good movie with a little something extra._",59337e49c3a3685a24014d42,113277,Heat,949,https://www.themoviedb.org/review/59337e49c3a3685a24014d42
talisencrw,"Most probably my least favourite film, both of Mel Brooks (though I haven't seen 'Life Stinks' yet) and of Leslie Nielsen (though I refuse to watch any other of the post-'Airplane' and 'Naked Gun' knockoffs he's made over the years since), but it still doesn't deserve all the hate. It's STILL at least 50,000 times funnier than Lena Dunham's 'Tiny Furniture' (or about 70% of the so-called contemporary American comedies made these days).",57ec2169c3a3687e1f000111,112896,Dracula: Dead and Loving It,12110,https://www.themoviedb.org/review/57ec2169c3a3687e1f000111
talisencrw,"Not as bad as it's notoriously condemned as being, but still clearly shows that both leads and the director were ill-advised (you know very well that if you were getting Harlin at that point in time, you were getting Davis--that's exactly why she probably married him). She brings her A-game and definitely tries her best but this just isn't her thing, and Modine's clearly not blockbuster star material for action films. A few of Harlin's set-pieces worked particularly well, but he pandered too much for his wife. That can work if you're, say, the Rossellinis and you're filming a drama set in Italy, but it's not working here, though I'll adore Davis to my dying day. I will add that this is my 13 year-old son's favourite films. Very curious if they would have made sequels had it not bombed--the ending sure was open-ended enough to give off that impression.

This is one film that if you just sit back and enjoy the ride will offer you a guilty pleasure. Definitely worth a watch if you enjoy popcorn films or have children. Not as enjoyable as the first two 'Pirates of the Caribbean' releases, but better than their subsequent sequels.",573f961ac3a36808ac0003a7,112760,Cutthroat Island,1408,https://www.themoviedb.org/review/573f961ac3a36808ac0003a7
DanDare,"An over the top Ninja action film with visceral bloody scenes. Humdrum story but goofily entertaining.

Raizo has been trained by the Ozunu clan to be a Ninja assassin since childhood but has turned his back on them.

Raizo teams up with a Europol investigator Mika to go after his former master to get revenge for the killing of his friend.",5939d465c3a3682371001f9d,1186367,Ninja Assassin,22832,https://www.themoviedb.org/review/5939d465c3a3682371001f9d
talisencrw,"This would have only been ordinary because it's simply adequately directed, has an entire cast of unknowns save for the star, and is from a cliché-riddled script, but this is honestly one of Michelle Pfeiffer's more interesting performances. While she's not entirely convincing as a career-Marine, she's certainly more so than Demi Moore, who tried the stunt not long afterwards, and she's certainly believable as a caring teacher. An intriguing film for Simpson and Bruckheimer to be associated with, this was back in the day, after her career-defining 'Catwoman' role in 'Batman Returns' that she was still getting great starring roles (I greatly look forward to checking her out opposite Daniel Day-Lewis in 'The Age of Innocence'). My favourite work of hers will always be in 'Scarface', but this is right up there IMHO--some really fine acting by her. It's simply a shame only one note was asked of her--had it been a more multi-dimensional character (ie., love or family interests--I've read a possible romance scene with Andy Garcia was left on the cutting room floor so they could focus on her interaction with the students), it would have been even more inviting to watch.",573fa4d0c3a3683bd6000ce4,112792,Dangerous Minds,9909,https://www.themoviedb.org/review/573fa4d0c3a3683bd6000ce4
John Chard,"Brothers In Arms.

Albert and Allen Hughes direct, produce and co-write (with Michael Henry Brown) this tale about Anthony Curtis (Larenz Tate), a South Bronx boy who goes off to fight in Vietnam, to then return after his tours of duty to find things just aren't the same anymore. The follow up to their incendiary debut, Menace II Society, the Hughes brothers deliver another in your face picture that is quite frankly on a perpetual downer. This is no bad thing, though, as long as you are not looking to be cheered up.

That's Uncle Sam for you! Mean Green.

The pic very much harks back to the glory days of film noir in the 40s and 50s, where some talented film makers began to tell stories of returning war veterans finding what they left behind is now alien to them - with some characters, as is the case here - deeply scarred by their experiences. Add in some gangster elements and the coup de grâce that is the scintillating heist, and clearly the brothers have seen many an old classic film. That the narrative is tried and tested stops the piece hitting greater heights, this in spite of some super acting (especially Tate and the always value for money Keith David) and the hard hitting violence that pierces the senses. Predictable yet potent, and certainly memorable, it's well worth a look for the tough of mind and the classic era film of heart. 7/10",55698b6d9251416afc00141b,112819,Dead Presidents,11443,https://www.themoviedb.org/review/55698b6d9251416afc00141b
RyuKang95,"Mortal Kombat was one of the most popular, and controversial video games of the 90s, so naturally, in 1995, New Line Cinema released a live- action film adaptation. When the film was being advertised, several people were either excited for it, or skeptical due to Street Fighter being a total stinker, and since the film was rated PG-13, which meant the violence and gore from the game had to be toned down to appeal to the then-young MK fan base. Thankfully, all expectations were surpassed as Mortal Kombat actually turned out to be, believe it or not, a good video game movie. Upon its release, the film was, surprisingly, a box- office success, making it the first video game adaptation to be successful both financially, and with fans, despite mixed reviews from critics (although Gene Siskel gave the movie a thumbs up). To this day, it is considered one of the better game to film translations. Now, it's time to find out why that is the case.

The film succeeds by sticking to the plot of the first game while incorporating elements from Mortal Kombat II. The plot itself is very similar to Enter the Dragon (which I consider to be the greatest Martial Arts film ever made), but with a supernatural twist to it, which is rather refreshing, and helps it stand on its own. Unlike Street Fighter where the focus was on Guile instead of Ryu and Ken (the original protagonists of that franchise), this movie centers mostly around the Mortal Kombat game's original protagonist; Liu Kang.

All of the characters from the first Mortal Kombat game (as well as a few from MKII) are present in the film, and are given appropriate development, and screen time. The casting is also spot-on. This is one of the few adaptations of a video game, comic book, and cartoon show (at least one of the few I could think of) where all of the actors are cast perfectly. Christopher Lambert, and Cary-Hiroyuki Tagawa are especially great as Rayden and Shang Tsung (respectively), they deliver the right amount of charisma without chewing the scenery. Linden Ashby also plays a great Johnny Cage since he brings the character's cocky personality to life, and delivers some of the best humor in this movie. But my favorite casting choice in the film has to be Robin Shou as Liu Kang. Not only is Liu my favorite character in the games, but Shou looks very much like the character, and makes you feel for him by showing his impulsiveness, and guilt over the death of his brother. It's a shame he didn't receive more starring vehicles after this movie, because I feel he is a capable actor, and Martial Artist. He definitely has more of a personality than Steven Seagal.

While the movie is rated PG-13, and doesn't contain the large amounts of gore from the game, it does make up for this area with the large amounts of Martial Arts action. The fight scenes are very well done, and often emulate more of the Hong Kong style of fight choreography, which was a refreshing change from most American action films prior to this. They also incorporate several of the special moves from the game, such as Liu Kang's bicycle kick, Scorpion's spear that comes out of his hand, etc., and they manage to make them look believable, and not embarrassing, unlike Street Fighter.

The person who directed this movie is Paul W.S. Anderson, and if that name sounds familiar, that's because this is the same man who would later go on to butcher Alien vs. Predator, and the Resident Evil movies. Despite his more recent efforts, he does a solid job directing this film. One of the strong points of his direction (aside from how well he filmed the fight scenes) is how he handled the movie on a technical, and design level. The cinematography, set designs, and lighting are stylish, and keep in touch with the game's dark, and mystical atmosphere. The special FX in the movie are also pretty cool, granted, they aren't exactly Terminator 2, or Jurassic Park, but they work fine for a film released in 1995. Though not everything is CGI, the character of Goro is a puppet, which still looks good to this day, and were created by special FX masters Alec Gillis, and Tom Woodruff, Jr.

Overall, Mortal Kombat is still a fun film to watch. It made up greatly for Street Fighter, and in my opinion, it still is one of the best video game movies (right up there with Street Fighter: Assassin's Fist). It may not be Oscar winning material, but it is one of my personal favorite movies, and as a huge fighting game fan, I couldn't be any more proud of it.",5492f5f0925141090e0019e4,113855,Mortal Kombat,9312,https://www.themoviedb.org/review/5492f5f0925141090e0019e4
ravitejarayudu,"It is not a just a DIE HARD MOVIE! Eyes feasting....lot of action scenes,lot of intelligence and lot of technology, Bruce Wills is rocking the film. There is nothing to say about his action. Justin long well and good supported role and he is the main guy who is dealing with technology...Timothy Olyphant awesome acting as a villian....and elizabethwinstead acts as a daughter of brucewills i.e., John Mclane. When coming to the story fully packed once when we got that situation really no one will going to surive us. An excellent actions,stunts,technology,etc. It is totally a full pack ""FIRE SALE"".:) Superb MOVIE",54194cd8c3a3686d96000edb,337978,Live Free or Die Hard,1571,https://www.themoviedb.org/review/54194cd8c3a3686d96000edb
